3326231;/m/095z4q;The Longest Yard;1909;190320568;113;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/0hn10"": ""LGBT"", ""/m/05c3mp2"": ""Prison film"", ""/m/0jdm8"": ""Remake"", ""/m/01z02hx"": ""Sports"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0vgkd"": ""Black comedy""}"
30950095;/m/0gg98d6;Mazhavilkavadi;1989;;130;{};{};"{""/m/02l7c8"": ""Romance Film"", ""/m/05p553"": ""Comedy film""}"
3509741;/m/09hfbq;Count Dracula;1970;;100;"{""/m/02h40lc"": ""English Language""}";"{""/m/06mkj"": ""Spain""}";"{""/m/03npn"": ""Horror""}"
1203778;/m/04h14p;Titanic;1909;2250000;103;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/01g6gs"": ""Black-and-white"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/01drsx"": ""Disaster"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action""}"
4482293;/m/0c4xfr;Night of the Living Bread;1990;;8;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/0gf28"": ""Parody"", ""/m/02hmvc"": ""Short Film""}"
12696872;/m/02x0w9k;Surrender;;;;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}"
20434224;/m/04zvj_p;Preetam;1971;;;"{""/m/03k50"": ""Hindi Language""}";"{""/m/03rk0"": ""India""}";"{""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}"
15936289;/m/03qhmz2;Barbie and the Diamond Castle;1909;;79;"{""/m/02h40lc"": ""English Language""}";"{""/m/01ls2"": ""Colombia"", ""/m/03rjj"": ""Italy""}";"{""/m/01zhp"": ""Computer Animation"", ""/m/0hqxf"": ""Family Film"", ""/m/0hcr"": ""Animation"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hj3myq"": ""Children's/Family""}"
5334557;/m/0dg3h7;I, Monster;1971;;80;"{""/m/02h40lc"": ""English Language""}";"{""/m/07ssc"": ""United Kingdom""}";"{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_c"": ""Costume Horror""}"
29199923;/m/0dlmbls;L'Amore Primitivo;1964;;83;"{""/m/02bjrlw"": ""Italian Language""}";"{""/m/03rjj"": ""Italy""}";"{""/m/05p553"": ""Comedy film""}"
14299402;/m/03c_tbh;The Blade Spares None;;;102;"{""/m/0653m"": ""Standard Mandarin""}";"{""/m/03h64"": ""Hong Kong""}";"{""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/0gw5qqq"": ""Chinese Movies""}"
19862443;/m/04q77sb;Traitor's Gate;1909;;87;"{""/m/02h40lc"": ""English Language""}";"{""/m/0345h"": ""Germany""}";"{""/m/0lsxr"": ""Crime Fiction"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}"
14299409;/m/03c_tbv;Bashful;1909;;;"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01z4y"": ""Comedy""}"
9396573;/m/02875q0;Zombie Town;1909;;95;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/0qdzd"": ""B-movie"", ""/m/0hj3m_q"": ""Creature Film""}"
13433670;/m/03c55ph;His Desperate Deed;1909;;;"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}"
11339644;/m/02r87dl;Harry Black;1958;;107;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}";"{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}"
20485099;/m/04zxx4q;Universe;1976;;;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/02hmvc"": ""Short Film"", ""/m/0jtdp"": ""Documentary""}"
21912163;/m/05pc8z0;Divinas palabras;;;107;"{""/m/06nm1"": ""Spanish Language""}";"{""/m/06mkj"": ""Spain""}";"{""/m/02p0szs"": ""Historical fiction"", ""/m/07s9rl0"": ""Drama""}"
26864304;/m/0bmbjxz;I, Curmudgeon;2004;;94;"{""/m/02h40lc"": ""English Language""}";"{""/m/0d060g"": ""Canada""}";"{""/m/0jtdp"": ""Documentary""}"
31087316;/m/0g4qd42;Punch and Jody;1909;;78;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/07s9rl0"": ""Drama""}"
31859493;/m/0gttkbk;Pretty Cure All Stars DX2: Light of Hope - Protect the Rainbow Jewel!;1909;;72;{};{};"{""/m/05p553"": ""Comedy film"", ""/m/02kdv5l"": ""Action""}"
7759122;/m/026c2w0;Vidheyan;1993;;112;"{""/m/0999q"": ""Malayalam Language"", ""/m/09bnf"": ""Kannada Language""}";"{""/m/03rk0"": ""India""}";"{""/m/07s9rl0"": ""Drama""}"
5109153;/m/0d31fl;Extremely Dangerous;1999;;;{};{};"{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller""}"
8550696;/m/0277kpj;Ika Hands;1988;;58;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";{}
11192132;/m/02r357x;Who Is Running?;;;105;"{""/m/0c_v2"": ""Thai Language""}";"{""/m/07f1x"": ""Thailand""}";"{""/m/01jfsb"": ""Thriller""}"
14123618;/m/03cv9_x;Madonna of the Seven Moons;1909;;110;"{""/m/02h40lc"": ""English Language""}";"{""/m/07ssc"": ""United Kingdom""}";"{""/m/0lsxr"": ""Crime Fiction"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}"
18732149;/m/04gh25y;In Celebration;1909;;131;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}";"{""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie""}"
25933465;/m/0b6kj3t;Close, Closed, Closure;2002;;52;"{""/m/0jzc"": ""Arabic Language"", ""/m/03hkp"": ""Hebrew Language""}";"{""/m/0f8l9c"": ""France"", ""/m/03spz"": ""Israel""}";"{""/m/0cshrf"": ""Political cinema"", ""/m/03q4nz"": ""World cinema"", ""/m/0jtdp"": ""Documentary""}"
11293485;/m/02r6n56;Crossroads to Crime;1960;;57;"{""/m/02h40lc"": ""English Language""}";"{""/m/07ssc"": ""United Kingdom""}";"{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery""}"
13736327;/m/03cgnm1;Krishna Babu;1909;;;"{""/m/09s02"": ""Telugu language""}";"{""/m/03rk0"": ""India""}";"{""/m/02h8pkk"": ""Family Drama""}"
19364323;/m/04n3pfg;Population: 1;1986;;180;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/06n90"": ""Science Fiction"", ""/m/01j28z"": ""Rockumentary"", ""/m/05r6t"": ""Punk rock"", ""/m/01hmnh"": ""Fantasy"", ""/m/04t36"": ""Musical""}"
33446420;/m/0h956pq;Aaj Ka Boss;2008;;135;"{""/m/03k50"": ""Hindi Language""}";{};"{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}"
10705802;/m/02qms8k;El crimen de Cuenca;1980;;92;"{""/m/06nm1"": ""Spanish Language""}";"{""/m/06mkj"": ""Spain""}";"{""/m/07s9rl0"": ""Drama""}"
32616273;/m/0ghdd1n;Benvenuti al sud;1909;;106;"{""/m/03cqzc"": ""Napoletano-Calabrese Language"", ""/m/064_8sq"": ""French Language"", ""/m/02bjrlw"": ""Italian Language""}";"{""/m/03rjj"": ""Italy""}";"{""/m/05p553"": ""Comedy film""}"
2678295;/m/07xcys;The 13th Letter;1909;;85;"{""/m/02h40lc"": ""English Language""}";"{""/m/09c7w0"": ""United States of America""}";"{""/m/02n4kr"": ""Mystery"", ""/m/0j5nm"": ""Whodunit"", ""/m/02xh1"": ""Film noir"", ""/m/09blyk"": ""Psychological thriller""}"
